No.,__  ,E/I,N/S,F/T,J/P,,,
160,INFP,I  ,N  ,F  ,P  ,,,
161,INFP,I  ,N  ,F  ,P  ,,,
162,INFP,I  ,N  ,F  ,P  ,,,
163,INFP,I  ,N  ,F  ,P  ,,,
164,INFP,I  ,N  ,F  ,P  ,,,
165,INFP,I  ,N  ,F  ,P  ,,,
166,INFP,I  ,N  ,F  ,P  ,,,
167,INFP,I  ,N  ,F  ,P  ,,,
168,INFP,I  ,N  ,F  ,P  ,,,
169,INFP,I  ,N  ,F  ,P  ,,,
170,INFP,I  ,N  ,F  ,P  ,,,
171,INFP,I  ,N  ,F  ,P  ,,,
172,INFP,I  ,N  ,F  ,P  ,,,
173,INFP,I  ,N  ,F  ,P  ,,,
174,INFP,I  ,N  ,F  ,P  ,,,
175,INFP,I  ,N  ,F  ,P  ,,,
176,INFP,I  ,N  ,F  ,P  ,,,
177,INFP,I  ,N  ,F  ,P  ,,,
178,INFP,I  ,N  ,F  ,P  ,,,
179,INFP,I  ,N  ,F  ,P  ,,,
180,INFP,I  ,N  ,F  ,P  ,,,
181,INFP,I  ,N  ,F  ,P  ,,,
182,INFP,I  ,N  ,F  ,P  ,,,
183,INFP,I  ,N  ,F  ,P  ,,,
184,INFP,I  ,N  ,F  ,P  ,,,
185,INFP,I  ,N  ,F  ,P  ,,,
186,INFP,I  ,N  ,F  ,P  ,,,
187,INFP,I  ,N  ,F  ,P  ,,,
188,INFP,I  ,N  ,F  ,P  ,,,
189,INFP,I  ,N  ,F  ,P  ,,,
190,INFP,I  ,N  ,F  ,P  ,,,
191,INFP,I  ,N  ,F  ,P  ,,,
192,INFP,I  ,N  ,F  ,P  ,,,
193,INFP,I  ,N  ,F  ,P  ,,,
194,INFP,I  ,N  ,F  ,P  ,,,
195,INFP,I  ,N  ,F  ,P  ,,,
196,INFP,I  ,N  ,F  ,P  ,,,
197,INFP,I  ,N  ,F  ,P  ,,,
198,INFP,I  ,N  ,F  ,P  ,,,
199,INFP,I  ,N  ,F  ,P  ,,,
200,INFP,I  ,N  ,F  ,P  ,,,
201,INFP,I  ,N  ,F  ,P  ,,,
202,INFP,I  ,N  ,F  ,P  ,,,
203,INFP,I  ,N  ,F  ,P  ,,,
204,INFP,I  ,N  ,F  ,P  ,,,
205,INFP,I  ,N  ,F  ,P  ,,,
206,INFP,I  ,N  ,F  ,P  ,,,
207,INFP,I  ,N  ,F  ,P  ,,,
208,INFP,I  ,N  ,F  ,P  ,,,
209,INFP,I  ,N  ,F  ,P  ,,,
210,INFP,I  ,N  ,F  ,P  ,,,
211,INFP,I  ,N  ,F  ,P  ,,,
212,INFP,I  ,N  ,F  ,P  ,,,
213,INFP,I  ,N  ,F  ,P  ,,,
214,INFP,I  ,N  ,F  ,P  ,,,
215,INFP,I  ,N  ,F  ,P  ,,,
216,INFP,I  ,N  ,F  ,P  ,,,
217,INFP,I  ,N  ,F  ,P  ,,,
218,INFP,I  ,N  ,F  ,P  ,,,
219,INFP,I  ,N  ,F  ,P  ,,,
220,INFP,I  ,N  ,F  ,P  ,,,
221,INFP,I  ,N  ,F  ,P  ,,,
222,INFP,I  ,N  ,F  ,P  ,,,
223,INFP,I  ,N  ,F  ,P  ,,,
224,INFP,I  ,N  ,F  ,P  ,,,
225,INFP,I  ,N  ,F  ,P  ,,,
226,INFP,I  ,N  ,F  ,P  ,,,
227,INFP,I  ,N  ,F  ,P  ,,,
228,INFP,I  ,N  ,F  ,P  ,,,
229,INFP,I  ,N  ,F  ,P  ,,,
230,INFP,I  ,N  ,F  ,P  ,,,
231,INFP,I  ,N  ,F  ,P  ,,,
232,INFP,I  ,N  ,F  ,P  ,,,
233,INFP,I  ,N  ,F  ,P  ,,,
234,INFP,I  ,N  ,F  ,P  ,,,
235,INFP,I  ,N  ,F  ,P  ,,,
236,INTP,I  ,N  ,T  ,P  ,,,
237,INTP,I  ,N  ,T  ,P  ,,,
238,INTP,I  ,N  ,T  ,P  ,,,
239,INTP,I  ,N  ,T  ,P  ,,,
240,INTP,I  ,N  ,T  ,P  ,,,
241,INTP,I  ,N  ,T  ,P  ,,,
242,INTP,I  ,N  ,T  ,P  ,,,
243,INTP,I  ,N  ,T  ,P  ,,,
244,INTP,I  ,N  ,T  ,P  ,,,
245,INTP,I  ,N  ,T  ,P  ,,,
246,INTP,I  ,N  ,T  ,P  ,,,
247,INTP,I  ,N  ,T  ,P  ,,,
248,INTP,I  ,N  ,T  ,P  ,,,
249,INTP,I  ,N  ,T  ,P  ,,,
250,INTP,I  ,N  ,T  ,P  ,,,
251,INTP,I  ,N  ,T  ,P  ,,,
252,INTP,I  ,N  ,T  ,P  ,,,
253,INTP,I  ,N  ,T  ,P  ,,,
254,INTP,I  ,N  ,T  ,P  ,,,
255,INTP,I  ,N  ,T  ,P  ,,,
256,INTP,I  ,N  ,T  ,P  ,,,
257,INTP,I  ,N  ,T  ,P  ,,,
258,INTP,I  ,N  ,T  ,P  ,,,
259,INTP,I  ,N  ,T  ,P  ,,,
260,INTP,I  ,N  ,T  ,P  ,,,
261,ESTP,E  ,S  ,T  ,P  ,,,
262,ESTP,E  ,S  ,T  ,P  ,,,
263,ESTP,E  ,S  ,T  ,P  ,,,
264,ESTP,E  ,S  ,T  ,P  ,,,
265,ESFP,E  ,S  ,F  ,P  ,,,
266,ESFP,E  ,S  ,F  ,P  ,,,
267,ESFP,E  ,S  ,F  ,P  ,,,
268,ESFP,E  ,S  ,F  ,P  ,,,
269,ESFP,E  ,S  ,F  ,P  ,,,
270,ESFP,E  ,S  ,F  ,P  ,,,
271,ESFP,E  ,S  ,F  ,P  ,,,
272,ESFP,E  ,S  ,F  ,P  ,,,
273,ESFP,E  ,S  ,F  ,P  ,,,
274,ESFP,E  ,S  ,F  ,P  ,,,
275,ESFP,E  ,S  ,F  ,P  ,,,
276,ESFP,E  ,S  ,F  ,P  ,,,
277,ESFP,E  ,S  ,F  ,P  ,,,
278,ESFP,E  ,S  ,F  ,P  ,,,
279,ESFP,E  ,S  ,F  ,P  ,,,
280,ESFP,E  ,S  ,F  ,P  ,,,
281,ESFP,E  ,S  ,F  ,P  ,,,
282,ESFP,E  ,S  ,F  ,P  ,,,
283,ESFP,E  ,S  ,F  ,P  ,,,
284,ESFP,E  ,S  ,F  ,P  ,,,
285,ESFP,E  ,S  ,F  ,P  ,,,
286,ESFP,E  ,S  ,F  ,P  ,,,
287,ESFP,E  ,S  ,F  ,P  ,,,
288,ESFP,E  ,S  ,F  ,P  ,,,
289,ESFP,E  ,S  ,F  ,P  ,,,
290,ESFP,E  ,S  ,F  ,P  ,,,
291,ENFP,E  ,N  ,F  ,P  ,,,
292,ENFP,E  ,N  ,F  ,P  ,,,
293,ENFP,E  ,N  ,F  ,P  ,,,
294,ENFP,E  ,N  ,F  ,P  ,,,
295,ENFP,E  ,N  ,F  ,P  ,,,
296,ENFP,E  ,N  ,F  ,P  ,,,
297,ENFP,E  ,N  ,F  ,P  ,,,
298,ENFP,E  ,N  ,F  ,P  ,,,
299,ENFP,E  ,N  ,F  ,P  ,,,
300,ENFP,E  ,N  ,F  ,P  ,,,
301,ENFP,E  ,N  ,F  ,P  ,,,
302,ENFP,E  ,N  ,F  ,P  ,,,
303,ENFP,E  ,N  ,F  ,P  ,,,
304,ENFP,E  ,N  ,F  ,P  ,,,
305,ENFP,E  ,N  ,F  ,P  ,,,
306,ENFP,E  ,N  ,F  ,P  ,,,
307,ENFP,E  ,N  ,F  ,P  ,,,
308,ENFP,E  ,N  ,F  ,P  ,,,
309,ENFP,E  ,N  ,F  ,P  ,,,
310,ENFP,E  ,N  ,F  ,P  ,,,
311,ENFP,E  ,N  ,F  ,P  ,,,
312,ENFP,E  ,N  ,F  ,P  ,,,
313,ENFP,E  ,N  ,F  ,P  ,,,
314,ENFP,E  ,N  ,F  ,P  ,,,
315,ENFP,E  ,N  ,F  ,P  ,,,
316,ENFP,E  ,N  ,F  ,P  ,,,
317,ENFP,E  ,N  ,F  ,P  ,,,
318,ENFP,E  ,N  ,F  ,P  ,,,
319,ENFP,E  ,N  ,F  ,P  ,,,
320,ENFP,E  ,N  ,F  ,P  ,,,
321,ENFP,E  ,N  ,F  ,P  ,,,
322,ENFP,E  ,N  ,F  ,P  ,,,
323,ENFP,E  ,N  ,F  ,P  ,,,
324,ENFP,E  ,N  ,F  ,P  ,,,
325,ENFP,E  ,N  ,F  ,P  ,,,
326,ENFP,E  ,N  ,F  ,P  ,,,
327,ENFP,E  ,N  ,F  ,P  ,,,
328,ENFP,E  ,N  ,F  ,P  ,,,
329,ENFP,E  ,N  ,F  ,P  ,,,
330,ENFP,E  ,N  ,F  ,P  ,,,
331,ENFP,E  ,N  ,F  ,P  ,,,
332,ENFP,E  ,N  ,F  ,P  ,,,
333,ENFP,E  ,N  ,F  ,P  ,,,
334,ENFP,E  ,N  ,F  ,P  ,,,
335,ENFP,E  ,N  ,F  ,P  ,,,
336,ENFP,E  ,N  ,F  ,P  ,,,
337,ENFP,E  ,N  ,F  ,P  ,,,
338,ENFP,E  ,N  ,F  ,P  ,,,
339,ENFP,E  ,N  ,F  ,P  ,,,
340,ENFP,E  ,N  ,F  ,P  ,,,
341,ENFP,E  ,N  ,F  ,P  ,,,
342,ENFP,E  ,N  ,F  ,P  ,,,
343,ENFP,E  ,N  ,F  ,P  ,,,
344,ENFP,E  ,N  ,F  ,P  ,,,
345,ENFP,E  ,N  ,F  ,P  ,,,
346,ENFP,E  ,N  ,F  ,P  ,,,
347,ENFP,E  ,N  ,F  ,P  ,,,
348,ENFP,E  ,N  ,F  ,P  ,,,
349,ENFP,E  ,N  ,F  ,P  ,,,
350,ENFP,E  ,N  ,F  ,P  ,,,
351,ENFP,E  ,N  ,F  ,P  ,,,
352,ENFP,E  ,N  ,F  ,P  ,,,
353,ENFP,E  ,N  ,F  ,P  ,,,
354,ENFP,E  ,N  ,F  ,P  ,,,
355,ENFP,E  ,N  ,F  ,P  ,,,
356,ENFP,E  ,N  ,F  ,P  ,,,
357,ENFP,E  ,N  ,F  ,P  ,,,
358,ENFP,E  ,N  ,F  ,P  ,,,
359,ENFP,E  ,N  ,F  ,P  ,,,
360,ENFP,E  ,N  ,F  ,P  ,,,
361,ENFP,E  ,N  ,F  ,P  ,,,
362,ENFP,E  ,N  ,F  ,P  ,,,
363,ENFP,E  ,N  ,F  ,P  ,,,
364,ENFP,E  ,N  ,F  ,P  ,,,
365,ENFP,E  ,N  ,F  ,P  ,,,
366,ENFP,E  ,N  ,F  ,P  ,,,
367,ENTP,E  ,N  ,T  ,P  ,,,
368,ENTP,E  ,N  ,T  ,P  ,,,
369,ENTP,E  ,N  ,T  ,P  ,,,
370,ENTP,E  ,N  ,T  ,P  ,,,
371,ENTP,E  ,N  ,T  ,P  ,,,
372,ENTP,E  ,N  ,T  ,P  ,,,
373,ENTP,E  ,N  ,T  ,P  ,,,
374,ENTP,E  ,N  ,T  ,P  ,,,
375,ENTP,E  ,N  ,T  ,P  ,,,
376,ENTP,E  ,N  ,T  ,P  ,,,
377,ENTP,E  ,N  ,T  ,P  ,,,
378,ENTP,E  ,N  ,T  ,P  ,,,
379,ENTP,E  ,N  ,T  ,P  ,,,
380,ENTP,E  ,N  ,T  ,P  ,,,
381,ENTP,E  ,N  ,T  ,P  ,,,
382,ENTP,E  ,N  ,T  ,P  ,,,
383,ENTP,E  ,N  ,T  ,P  ,,,
384,ENTP,E  ,N  ,T  ,P  ,,,
385,ENTP,E  ,N  ,T  ,P  ,,,
386,ENTP,E  ,N  ,T  ,P  ,,,
387,ENTP,E  ,N  ,T  ,P  ,,,
388,ENTP,E  ,N  ,T  ,P  ,,,
389,ENTP,E  ,N  ,T  ,P  ,,,
390,ENTP,E  ,N  ,T  ,P  ,,,
391,ENTP,E  ,N  ,T  ,P  ,,,
392,ENTP,E  ,N  ,T  ,P  ,,,
393,ENTP,E  ,N  ,T  ,P  ,,,
394,ENTP,E  ,N  ,T  ,P  ,,,
395,ENTP,E  ,N  ,T  ,P  ,,,
396,ESTJ,E  ,S  ,T  ,J  ,,,
397,ESTJ,E  ,S  ,T  ,J  ,,,
398,ESTJ,E  ,S  ,T  ,J  ,,,
399,ESTJ,E  ,S  ,T  ,J  ,,,
400,ESTJ,E  ,S  ,T  ,J  ,,,
401,ESTJ,E  ,S  ,T  ,J  ,,,
402,ESTJ,E  ,S  ,T  ,J  ,,,
403,ESTJ,E  ,S  ,T  ,J  ,,,
404,ESTJ,E  ,S  ,T  ,J  ,,,
405,ESTJ,E  ,S  ,T  ,J  ,,,
406,ESTJ,E  ,S  ,T  ,J  ,,,
407,ESTJ,E  ,S  ,T  ,J  ,,,
408,ESFJ,E  ,S  ,F  ,J  ,,,
409,ESFJ,E  ,S  ,F  ,J  ,,,
410,ESFJ,E  ,S  ,F  ,J  ,,,
411,ESFJ,E  ,S  ,F  ,J  ,,,
412,ESFJ,E  ,S  ,F  ,J  ,,,
413,ESFJ,E  ,S  ,F  ,J  ,,,
414,ESFJ,E  ,S  ,F  ,J  ,,,
415,ESFJ,E  ,S  ,F  ,J  ,,,
416,ESFJ,E  ,S  ,F  ,J  ,,,
417,ESFJ,E  ,S  ,F  ,J  ,,,
418,ESFJ,E  ,S  ,F  ,J  ,,,
419,ESFJ,E  ,S  ,F  ,J  ,,,
420,ESFJ,E  ,S  ,F  ,J  ,,,
421,ESFJ,E  ,S  ,F  ,J  ,,,
422,ESFJ,E  ,S  ,F  ,J  ,,,
423,ESFJ,E  ,S  ,F  ,J  ,,,
424,ESFJ,E  ,S  ,F  ,J  ,,,
425,ESFJ,E  ,S  ,F  ,J  ,,,
426,ESFJ,E  ,S  ,F  ,J  ,,,
427,ESFJ,E  ,S  ,F  ,J  ,,,
428,ESFJ,E  ,S  ,F  ,J  ,,,
429,ESFJ,E  ,S  ,F  ,J  ,,,
430,ESFJ,E  ,S  ,F  ,J  ,,,
431,ESFJ,E  ,S  ,F  ,J  ,,,
432,ESFJ,E  ,S  ,F  ,J  ,,,
433,ESFJ,E  ,S  ,F  ,J  ,,,
434,ENFJ,E  ,N  ,F  ,J  ,,,
435,ENFJ,E  ,N  ,F  ,J  ,,,
436,ENFJ,E  ,N  ,F  ,J  ,,,
437,ENFJ,E  ,N  ,F  ,J  ,,,
438,ENFJ,E  ,N  ,F  ,J  ,,,
439,ENFJ,E  ,N  ,F  ,J  ,,,
440,ENFJ,E  ,N  ,F  ,J  ,,,
441,ENFJ,E  ,N  ,F  ,J  ,,,
442,ENFJ,E  ,N  ,F  ,J  ,,,
443,ENFJ,E  ,N  ,F  ,J  ,,,
444,ENFJ,E  ,N  ,F  ,J  ,,,
445,ENFJ,E  ,N  ,F  ,J  ,,,
446,ENFJ,E  ,N  ,F  ,J  ,,,
447,ENFJ,E  ,N  ,F  ,J  ,,,
448,ENFJ,E  ,N  ,F  ,J  ,,,
449,ENFJ,E  ,N  ,F  ,J  ,,,
450,ENFJ,E  ,N  ,F  ,J  ,,,
451,ENFJ,E  ,N  ,F  ,J  ,,,
452,ENFJ,E  ,N  ,F  ,J  ,,,
453,ENFJ,E  ,N  ,F  ,J  ,,,
454,ENFJ,E  ,N  ,F  ,J  ,,,
455,ENFJ,E  ,N  ,F  ,J  ,,,
456,ENFJ,E  ,N  ,F  ,J  ,,,
457,ENFJ,E  ,N  ,F  ,J  ,,,
458,ENFJ,E  ,N  ,F  ,J  ,,,
459,ENFJ,E  ,N  ,F  ,J  ,,,
460,ENFJ,E  ,N  ,F  ,J  ,,,
461,ENFJ,E  ,N  ,F  ,J  ,,,
462,ENFJ,E  ,N  ,F  ,J  ,,,
463,ENFJ,E  ,N  ,F  ,J  ,,,
464,ENFJ,E  ,N  ,F  ,J  ,,,
465,ENFJ,E  ,N  ,F  ,J  ,,,
466,ENFJ,E  ,N  ,F  ,J  ,,,
467,ENFJ,E  ,N  ,F  ,J  ,,,
468,ENFJ,E  ,N  ,F  ,J  ,,,
469,ENFJ,E  ,N  ,F  ,J  ,,,
470,ENFJ,E  ,N  ,F  ,J  ,,,
471,ENFJ,E  ,N  ,F  ,J  ,,,
472,ENFJ,E  ,N  ,F  ,J  ,,,
473,ENFJ,E  ,N  ,F  ,J  ,,,
474,ENFJ,E  ,N  ,F  ,J  ,,,
475,ENFJ,E  ,N  ,F  ,J  ,,,
476,ENFJ,E  ,N  ,F  ,J  ,,,
477,ENFJ,E  ,N  ,F  ,J  ,,,
478,ENFJ,E  ,N  ,F  ,J  ,,,
479,ENFJ,E  ,N  ,F  ,J  ,,,
480,ENFJ,E  ,N  ,F  ,J  ,,,
481,ENFJ,E  ,N  ,F  ,J  ,,,
482,ENFJ,E  ,N  ,F  ,J  ,,,
483,ENFJ,E  ,N  ,F  ,J  ,,,
484,ENFJ,E  ,N  ,F  ,J  ,,,
485,ENTJ,E  ,N  ,T  ,J  ,,,
486,ENTJ,E  ,N  ,T  ,J  ,,,
487,ENTJ,E  ,N  ,T  ,J  ,,,
488,ENTJ,E  ,N  ,T  ,J  ,,,
489,ENTJ,E  ,N  ,T  ,J  ,,,
490,ENTJ,E  ,N  ,T  ,J  ,,,
491,ENTJ,E  ,N  ,T  ,J  ,,,
492,ENTJ,E  ,N  ,T  ,J  ,,,
493,ENTJ,E  ,N  ,T  ,J  ,,,
494,ENTJ,E  ,N  ,T  ,J  ,,,
495,ENTJ,E  ,N  ,T  ,J  ,,,
496,ENTJ,E  ,N  ,T  ,J  ,,,
497,ENTJ,E  ,N  ,T  ,J  ,,,
498,ENTJ,E  ,N  ,T  ,J  ,,,
499,ENTJ,E  ,N  ,T  ,J  ,,,
500,ENTJ,E  ,N  ,T  ,J  ,,,
501,ENTJ,E  ,N  ,T  ,J  ,,,
